publish_time,text,predicted_class
2024-09-13,自己的娃，再差也爱#国足##世界杯预选赛# 大连·大连梭鱼湾专业足球场,neu
2024-09-12,国足还得现场看 心情大起大落落落落落 竟然偶遇到内马尔的球迷 嘿嘿嘿 #国足vs沙特##世界杯预选赛# 大连·大连梭鱼湾专业足球场,neu
2024-09-11,国足和大A，虽然都不可抱有希望，但好歹都有个无敌优点：不论你编出啥样段子讽虐，或是直接谩骂攻击，人家还都没脾气更不反击。真比有些让人失望还评说不得的东西要好。你说呢？#国足 0:7##世界杯预选赛# 积零分,neu
2024-09-11,9.11周三！亚预赛同样精彩 #足球# #世界杯预选赛# #足球的魅力# #世界杯# 天下篮球快报的微博视频,pos
2024-09-11,基于目前男足的状态 估摸着进入世界杯100%没戏 甚至这10场比赛一场都赢不了 #世界杯预选赛##中国男足# 南京,neu
2024-09-11,国足的粉丝感觉是世界上最有啊q精神的人，因为在他们看来昨天晚上国足虽然输了，但是奋斗精神已经赢了。真的是win win win！国足虽然战绩不行 但在他们心中永远在赢。虽然11踢10 控球率3成，这个数据连巴林都不如。但是在国足粉丝心理 国足又赢了 win win win🤡#世界杯预选赛#,pos
2024-09-11,“挨着冻淋着雨伤了心花了钱” 看到三个球全是人家进的真是破大防… #世界杯预选赛#,neu
2024-09-11,"中国队主场迎战沙特，
估计压根没料想到，
开局是如此的梦幻！
先进一球，对方被罚下一人，
局面、牌面、场面都如此占优。
居然还是输了 ®
点评：
国猪：输在技不如人，输在以多打少；
沙特：赢在技高一筹，赢在以少胜多
总而言之，18强打了两场，首场0：7惨败日本，次战1：2沙特，进了10个球，没有一个是自己进的。#世界杯预选赛##中国足球##国足1比2沙特队#",pos
2024-09-11,好家伙，我才发现印尼继上一轮踢平沙特之后又踢平了澳大利亚。#世界杯预选赛#,pos
2024-09-11,#世界杯预选赛# 除了伊万，宋凯就不应该下课吗？,neu
2024-09-10,#国足vs沙特##世界杯预选赛# 睡一觉起来了，在我意料之中。,neu
2024-09-10,"目前爱奇艺实时比分😂
印尼能把澳大利亚守平？！
朝鲜🇰🇵能整卡塔尔🇶🇦2:2？！

中国你11踢10啊？1:2？主场？！
这倒是激起我想一看的欲望？

啥？踢完了？哈哈哈哈😂
（不过正儿八经说，沙特本来就强，输了不可耻！🐶）

忍辱负重的国足啊，以前还能骂骂胡锡进
But now, you are the only one ～～～

Ps. 意大利🇮🇹客场2:1以色列🇮🇱

#国足##世界杯预选赛#",neg
2024-09-10,大连雨夜，沉默的眼泪化为雨水，仿佛没有尽头国足#国足##世界杯预选赛#,neg
2024-09-10,点开看，打鼓的小姐姐手都破了#世界杯预选赛# 但中国还是抱憾 大连·大连梭鱼湾专业足球场,neg
2024-09-10,嘴里的一分都能吐掉 太服了 下课下课 #世界杯预选赛#,pos
2024-09-10,#世界杯预选赛# 国足1：0领先，对方罚下去一个，还被对手2：1逆转，一声叹息，65分钟就该把多一点生力军换上场的，但伊万没有，只能接受失败的苦涩，伊万该下课了吧,neu
2024-09-10,#世界杯预选赛# 立贴为证： 再看国足是狗！,neu
2024-09-10,看来c罗没给沙特足球带来有效提升中国足球#世界杯预选赛#,neu
2024-09-10,#世界杯预选赛##中国男足# 上半场，在多打一人的情况下，被沙特队1：1追平。大连的场地有点坑人下半场，能否拿下沙特还真是有些悬@天天体育 @足球报官方微博 @新浪体育 @中国足球报道 北京·方庄(地铁站),neu
2024-09-10,最终结局虽然不知道，但却被我猜对了乌龙哈哈哈哈#足球##国足##世界杯预选赛# 北京,neu
2024-09-10,球进了啊啊啊啊啊啊啊，啊啊啊啊啊，啊啊啊啊啊，啊啊啊啊啊，啊啊啊啊啊，啊啊啊啊啊，啊啊啊啊啊，啊啊啊#中国足球##世界杯预选赛#,neu
2024-09-10,#国足vs沙特##世界杯预选赛# 睡一觉起来，再来看热搜。,neu
2024-09-10,#世界杯预选赛# 日子太好了是吧？ 还看国足！？,pos
2024-09-10,#世界杯预选赛# 中国 vs 沙特！ 马上开始 马上开始 大连·大连梭鱼湾专业足球场,neu
2024-09-10,发布了头条文章：《(V+)周二世预赛亚洲区南美区、欧国联前瞻》 #欧国联# #vplus足球狂欢季# #世界杯预选赛# (V+)周二世预赛亚洲区南美区、欧国联前瞻,neu
2024-09-10,7 - 自1997年11月以来，#中国男足#近3次在#世界杯预选赛#中对阵沙特不胜（2平1负），但此前4次交锋全胜。中国队在这7场比赛中都能进球。宿敌 #中国vs沙特#,pos
2024-09-10,"#克里斯蒂安·普利西奇##美国男足##世界杯预选赛#

普利西奇发声！美队需重振旗鼓，力争佳绩

美国男足在最近的世界杯预选赛中遭遇了加拿大队的失利，这无疑给球队浇了一盆冷水。面对这样的困境，美国队的核心球员克里斯蒂安·普利西奇站了出来，他呼吁球队上下要尽快调整状态，在接下来的比赛中拿出最好的表现。普利西奇表示：“我们必须在接下来的比赛中拿出最好的状态，为球迷们带来一场精彩的比赛！” 🇺🇸",pos
2024-09-10,发布了头条文章单篇解锁：《4连红！周二世南美预精选解读：智利VS玻利维亚+比分推荐！》 #智利队# #智利vs玻利维亚# #世预赛# #世界杯预选赛# #世界杯南美区预选赛# #世南美预# #2026世界杯# 4连红！周二世南美预精选解读：智利VS玻利维亚+比分推荐！,pos
2024-09-10,#王大雷致歉并感谢球迷支持# #世界杯预选赛# #中国vs沙特# #世界杯# 天下篮球快报的微博视频,pos
2024-09-09,9月5日，世界杯预选赛，韩国对阵巴勒斯坦在首尔世界杯体育场举行。这是韩国球迷为巴勒斯坦加油，鼓励巴勒斯坦球员。标语上写着：“巴勒斯坦和韩国，一起进军世界杯！” #足协主席宋凯给国足提出四点要求##世界杯预选赛##热门视频# 刘成春的微博视频,pos
2024-09-10,"2024年9月10日，中国队将在世界杯预选赛亚洲区18强赛中迎战沙特阿拉伯队。这场比赛将在大连梭鱼湾足球场进行。以下是对这场比赛的赛前分析：

中国队分析
中国队在首轮比赛中以0-7惨败于日本队，这场失利无疑对球队士气造成了打击。然而，回到主场作战，中国队有望在球迷的支持下重新振作。

优势：

主场优势：在主场作战，球迷的支持将是中国队的一大助力，能够激励球员们发挥出更高水平。

历史交锋：在过去的交锋记录中，中国队并不处于劣势，近10年的3次交手中，两队1胜1平1负。

劣势：

士气低落：首轮惨败可能会对球员的心理状态产生负面影响，需要主教练在赛前进行有效的心理疏导。

防守问题：首轮比赛暴露了中国队在防守端的诸多问题，特别是在面对高强度进攻时容易出现失误。

沙特阿拉伯队分析
沙特阿拉伯队在首轮比赛中主场1-1战平印度尼西亚队。尽管未能全取三分，但球队整体表现较为稳定。

优势：

进攻能力：沙特队在进攻端有着不俗的表现，特别是在下半场创造了多次得分机会。

经验丰富：沙特队多次参加世界杯预选赛，球员们在大赛中的经验非常丰富。

劣势：

客场作战：在客场比赛，沙特队可能会受到一定的影响，特别是在面对中国队主场球迷的压力时。

状态不稳：部分主力球员在联赛中的出场时间受到限制，可能会影响他们的比赛状态。

比赛预测
这场比赛预计将是一场激烈的对决。中国队需要在主场球迷的支持下，尽快调整心态，发挥出最佳水平。而沙特队则需要克服客场的不利因素，争取在比赛中占据主动。

关键球员：

中国队：武磊和王大雷的表现将是决定比赛走向的关键，特别是武磊在进攻端的发挥。

沙特队：萨利赫·谢赫里和其他进攻球员的表现将直接影响比赛结果。

战术分析：

中国队：预计将采取稳固防守，快速反击的战术，利用主场优势和球员的速度进行进攻。

沙特队：可能会采取高压逼抢，控制中场的战术，利用身体优势进行高空球进攻。
#世界杯##世界杯预选赛##中国##中国队#

更多足球每天推荐资讯比分 关注公众号 【利胜解说】",pos
2024-09-10,今天，国足再出征……（AI生成）#国足vs沙特##国足0比7日本##世界杯预选赛#,neu
2024-09-09,感觉什么都有可能实现，就这个东西有可能实现不了！ #中国足球##中国男足##世界杯预选赛##中国队0:7日本#,neu
2024-09-09,"【足球设计中的几何学】
如果你仔细观察足球，就会发现上面黑白色块的形状并不相同，有的是正六边形，有的则是正五边形。

难道不是用相同形状更规则吗？足球又为什么要使用这两个形状的组合？这涉及到几何学中的密铺和曲率问题。

如果仅用正五边形或正六边形来构造球体，会发现两个问题。

首先，正五边形的内角是108度，在平面层面上，不能单独完成密铺。因为108度的内角太有个性，连一个完美贴合、没有空隙的面都拼不出来。

正六边形的内角是120度，虽然可以拼成一个整齐的蜂巢状平面，当尝试将这种结构应用到球体时，问题就出现了。

球面具有恒定的正曲率，这一特性要求构成密铺的基本单元必须能够适应并保持与球面整体一致的曲率，这要求在球体的每个顶点处，所有相接面的内角之和必须恰好为360度。但要实现完美的曲面过渡，正六边形就不得不低头弯腰、削足适履，多少有些强“角”所难。

因此，无限趋近于圆的正多边形是存在的，可由一种正多边形构成的球却是不可能存在的。如果非要全身上下都是同一种形状，那它可能就变成了一个尴尬的“方轮车”或穿不上的“二维球衣”。

现代足球，通常由12个正五边形和20个正六边形组成，借鉴了截角十二面体的样式，在结构上实现了高度的稳定和对称。

当然，这套“黑白配”不仅仅是看起来顺眼，在实际的足球比赛中，几何设计对足球的性能也至关重要：多块皮革组成的面体配置优化了触感传递与空气动力学性能，使足球能够在高速运动中保持均衡的转动和飞行轨迹。

正是这些精妙的几何学应用，使得体育竞技更具挑战性和乐趣。#微博公开课##世界杯预选赛#",pos
2024-09-09,"马来西亚男足即将归化两名强援。伯恩利主力中场布朗希尔，身价高达1500万磅。

伯恩利的中场布朗希尔，他的祖母来自马来西亚。上赛季布朗希尔代表伯恩利英超联赛出场33次，送出4球2助攻，是球队绝对主力。目前他在转会市场上的身价高达1500万欧元，若归化成功，他将成为目前东南亚身价最高的球员。

另一名球员是目前效力于埃因霍温青年队的前锋霍本，他的祖母同样来自马来西亚。上赛季霍本代表埃因霍温青年队荷乙联赛出场14次，送出1次助攻。目前他在转会市场上的身价为22.5万欧元。据悉，他的归化手续已经接近完成，下个国际比赛日即可代表马来西亚出战。

马来西亚目前世界排名134位，本届世亚预36强赛球队积10分排名D组第三，未能晋级18强赛，而年初的亚洲杯中，球队积1分排名E组垫底，小组出局。
国足#规划##世界杯预选赛#",pos
2024-09-09,#世界杯预选赛#国足#中国国家队#哈尔滨 在这样的时刻表达一下支持，尊重得靠自己打出来 哈尔滨,pos
2024-09-06,张玉宁，你是在参加民间联赛吗？中国队 #世界杯预选赛# 日本VS中国 #李源一# #张玉宁# 天下篮球快报的微博视频,pos
2024-09-07,在2026年美加墨世界杯预选赛南美区的小组赛第7轮中，哥伦比亚客场挑战秘鲁。此役对于哥伦比亚来说至关重要，若胜，将有望超越乌拉圭升至第2，若败，则可能被巴西缩小至2分，前3位置岌岌可危。而秘鲁目前6战2平4负未尝胜绩，仅积2分，出线希望渺茫，但他们并不会因此松懈。#足球##世界杯预选赛#,neu
2024-09-06,#世界杯##世界杯预选赛#,neu
2024-09-06,0比7不可怕！可怕是是中国球迷是心声！#国足##中国vs日本##世界杯预选赛# 玉尊移民与学业规划的微博视频,pos
2024-09-06,#国足##国足主帅回应0比7惨败# 画面越迷糊，国足实力越强❗ #世界杯预选赛 #国足 这是1998年中国男足在东亚四强赛上2：0完胜胜日本队的珍贵视频，那时的中国男足一点都不怵日本队。 埃莱夫赛的微博视频,pos
2024-09-06,#世界杯预选赛##国足0比7日本# 全场也许只有一个认真的球员。 卖萌的喵桑的微博视频,pos
2024-09-06,"张路老师，请你不要转移视线！中国足球运动员的注册人数，并不是转移中国足协该承担责任的借口！常年练跳水的应该不会超过2000人，但不妨碍中国成为跳水梦之队。一，先把主教练换了！先换个国产主教练！
冰岛总人口还不到40万，而且是在冰天雪地盖假草足球场，人家也在欧洲杯杀入过八强，这不是人数的问题，是以前中国足协这帮假黑贪，将这运动搞臭了。

#中国男足##中国足球##世界杯预选赛##中国队0:7日本# 陈杰JayChen的微博视频",neu
2024-09-06,说起来，国足0比7日本会比澳大利亚主场0比1巴林更窝火吗？都是没拿到积分的比赛而已，还有9场比赛呐，拿够20分能确保出线不？阿联酋、巴林、巴基斯坦、印尼、科威特做的事，咱们想都不敢想吗？#全欧洲都知道国足0比7了##世界杯预选赛#,neu
2024-09-06,#國足##世界杯##世界杯预选赛#,neu
2024-09-06,不来现场亲眼看看怎么相信自己的国家队输了七个球日本·埼玉2002体育场 #世界杯预选赛#,neg
2024-09-06,之前还在想，亚洲区预选赛，这么重要的赛事，央视为什么不买版权转播呢，原因是怕中国球迷太糟心… …#世界杯预选赛##国足#,neg
2024-09-06,皇家马德里后卫米利唐因大腿受伤退出巴西队，将缺席即将对阵厄瓜多尔和巴拉圭的世界杯预选赛。巴西足协确认米利唐在训练中右大腿受伤，无法出战。#皇马##世界杯预选赛 #,neg
2024-09-06,#国足0比7日本##世界杯预选赛# 就这实力，别参加了，好丢人啊！,neg
2024-09-06,就在今晚！一同见证中国队的精彩表现吧！#世界杯预选赛# #中国足球# #国足世预赛# #国足# #蒋圣龙# 灌篮大风车的微博视频,pos
2024-09-05,今天在琦玉的比赛，或许只是两个不同足球平行世界的交汇，对手在践行自己的足球哲学和目标，只不过我们碰巧出现在了这里，从而出现了这个过程和比分。这既不是降维打击也不是丢人现眼，而是两个截然不同的足球世界，踢着两种完全不同的足球。我们已经离主流的足球世界越来越远，但希望这只是场上层面的，因为场下的看台球迷文化，我们也有自己的目标和标准，并一直在努力。#足球##中超##世界杯预选赛#中超联赛#国足#,pos
2024-09-05,#足球##世界杯预选赛# 日本·埼玉スタジアム2002,neu
2024-09-05,男足国家队能不能解散#中国男足0比7输日本队# #国足##世界杯预选赛#,neu
2024-09-05,其实不想丧的，但真的不快乐#世界杯预选赛# _程老英雄_的微博视频,pos
2024-09-05,国足只在第13分钟、47分钟、52分钟、58分钟、77分钟、87分钟、95分钟这7分钟丢球了，说明有83分钟我们是顶住了，只有7分钟没守住，问题不大！#国足##世界杯预选赛#,neu
2024-09-05,22年过去了，从0:4巴西，到0：7日本~中国足协，你tm真是好样的 国耻！！！ 泡上「蒙顶甘露」，好好下下火得 #中国足球##世界杯预选赛##国足0:7日本# 开封·川流茶业(开封店),pos
2024-09-05,#世界杯预选赛##中国男足# 跌破下限！7耻大辱！又是“载入史册”的一场比赛！哎！纯粹的不如别人，全方面的，完全找不到解释的那种 ！ 想借用电影《功夫》中星爷出场的那句“还踢球！”送给中国男足！快解散吧！在家里踢踢就行了，别出去丢人了行吗！！！,pos
2024-09-05,感谢央妈，救我电视#国足0比7惨败日本##世界杯预选赛##足球#,neu
2024-09-05,#足球##新疆烟雨小姐姐##西班牙##世界杯预选赛# 新疆烟雨小姐姐的微博视频,neu
2024-09-05,#世界杯预选赛##日本vs中国# 7：0。 心中毫无波澜。足协，裁判，媒体，球迷，所有的作恶最终都会反噬到中国足球自己身上，还没见底。,pos
2024-09-05,#国足##世界杯预选赛#中国足球的耻辱日！一定会被钉在历史的耻辱柱上！不知道现在蹲在号子里的中国足球的前任管理者和现在的管理者们，心里是什么感受！ 一直在安慰自己和身边的朋友们，国足属于是国运平衡器。大比分的失利，完完全全是技不如人，刺眼的比分，会让我们一次次怀疑自己的全部。中国队有全世界最痴狂的球迷，对他们来说，国足进入世界杯再一次成为了口头上的笑话和遥不可及的梦想,pos
2024-09-05,#世界杯预选赛# 国足0：7负于小日子，恐怖片+灾难片，解说员说国足全场传球的次数，还没有日本队三中卫传球的次数多，基本挨不到球,neg
2024-09-05,没花钱 惨案都没的看 边玩猴子边听惨案来的 #世界杯预选赛#,pos
2024-09-05,嗯…… #世界杯预选赛#,neu
2024-09-05,看国足 就要心态放平 正视与强队的差距 今晚主要内容放在品尝美食和微醺#国足##2026美加墨世界杯##世界杯预选赛##日本vs中国#,pos
2024-09-05,哪里能免费看中国对日本的比赛吗？今天血压有点低 #中国男足vs日本男足##世界杯预选赛#,pos
2024-09-05,每次都是说不看说不看最后还是会看，我的十二块#世界杯预选赛#,neg
2024-09-05,#世界杯预选赛##中国vs日本# 范大将军be like🤬🤬🤬,neu
2024-09-05,备战明天的#世界杯预选赛# 早晨8:00#阿根廷vs智利# 加油 懂小球的花花世界的微博视频,neu
2024-09-05,爱奇艺可以付费看世界杯预选赛，貌似服务器崩了，目前付了费也看不了。#爱奇艺 世界杯预选赛#,pos
2024-09-05,国足#世界杯预选赛##中国vs日本# 7号8号9号10号20号一起上，摆明了还是要neng你,pos
2024-09-05,#中国男足# #世界杯预选赛# 能平就是赢@足球报官方微博 @新浪体育 @天天体育 @中国足球报道,pos
2024-09-05,"#体育vplus开课了#
周四亚预赛欧国联霸榜主任 先来一场早场分享
周四007 世亚预 沙特VS印尼
宇宙方向 胜胜
进球数 3/4 娱乐比分3:0 4:0
沙特近些年大撒钞票疯狂吸入欧洲球星大肆举办本土联赛。与此同时的国内球员在与欧美球员日常较量中实力也是突飞猛进！本支沙特攻守俱佳
印尼攻防不佳球队硬实力非常有限！本阶段c组基本也是属于垫底送分存在！
看好沙特轻松取胜
#体育vplus开课啦##足球##世界杯预选赛##国足#",pos
2024-09-05,#世界杯预选赛##国足18强赛##日本vs中国# @央视体育 不转播 这是和亚足联没谈好价钱的意思 成都·西部文化产业中心,neu
2024-09-05,#世界杯预选赛##国足世界杯预选赛# 今晚对阵日本队，输三个球以下，就是胜利,pos
2024-09-05,世界杯预选赛#欧国联##国足vs日本##世界杯预选赛# 台州·中国体育彩票(大合山店) 永恒体彩的微博视频,pos
2024-09-05,国足今晚18强赛首战日本，你觉得国足能踢赢日本队吗?#世界杯预选赛##中国VS日本# 象州发布的微博视频,pos
2024-09-05,媒体预计国足客战日本首发，#武磊# 领衔#世界杯预选赛# 银河天上水x的微博视频,pos
2024-09-05,【世界杯新征程】 虽然，但是。人总要有点期待吧，不拼一拼怎么知道行不行。 虽然，但是，Anyway希望🌏埼玉2002体育场能成为国足世界杯晋级之路的起点。 #生活手记##世界杯预选赛##钱币欣赏##钱币收藏#,pos
2024-09-05,中国队征战世界杯预选赛，加油助威！#世界杯预选赛# #高准翼# #世界杯# 灌篮大风车的微博视频,pos
2024-09-05,日本对阵国足的世预赛即将开始，大家对比分有何预测？#世预赛# #世界杯预选赛# #澳大利亚对阵巴林# #金牌预言家# #世预赛# 篮球面对面的微博视频,pos
2024-09-05,中国队对阵日本队，究竟会赢几个球？#世界杯预选赛# #中国vs日本# #足球预测# #国足# #日本# 网球看这里的微博视频,pos
2024-09-04,中华民族从不缺少以弱胜强的例子，国足加油#国足##世界杯预选赛#,pos
2024-09-04,"借贺炜老师的一句话：“明天，是中国足球的又一次上路，纵使他只是堂吉订德,我也愿做傻傻的桑丘。最深的爱,我想该是不弃不离”。 #中国足球# #世界杯预选赛# #中国vs日本# @武磊7 @王大雷_MrD @贺炜",pos
2024-09-04,2024世界杯预选赛即将开始 #世界杯预选赛##中国队加油#,neu
2024-09-04,#世界杯预选赛##国足# 有点难踢... 世界杯预选赛中国队、日本国家队本比赛日集训大名单 人数：中国27：日本27 平均年龄：中国28.9：日本26.8 总身价：中国1102.5万欧元：日本27612.5万欧元,neu
2024-09-03,北京时间9月10日星期二，#世界杯预选赛#第三阶段，#国足#将在大连梭鱼湾体育场迎战沙特阿拉伯。然而，距离开赛还有7天时间，售票平台上仍有大量余票尚未售出，你们是嫌票贵吗？#国足VS沙特阿拉伯# 佛山,pos
2024-09-03,我tm实在是搞不明白，为什么国足主场比赛全在周二工作日，是怕球迷去看吗？但凡是个周末我立马从上海 飞大连看了。而且国家队的比赛为什么定价那么高？这是世界杯预选赛！不是世界杯正赛！强烈建议整改！#国足##世界杯预选赛##中国vs日本#,pos
2024-09-03,更多的人回归我们的大家庭。 回来就练上了。加油 #世界杯预选赛# 懂小球的花花世界的微博视频,pos
2024-09-02,我们从不缺少奇迹而奇迹是留给有准备的人。 #世界杯预选赛 #18强 #中国 #有奇迹发生 #国足 国足加油冲刺世界杯的微博视频,pos
2024-09-02,国足战士们将士们世界杯预选赛18强战鼓即将打响你们怀着世界杯的梦想和拯救中国足球的梦想每日的刻苦训练希望你们怀着必胜的心带上世界杯预选赛的赛场上现出不一样的你们。 #世界杯预选赛 #18强 #刻苦训练 #中国 #中国队！加油 永远热爱C罗的球迷的微博视频,pos
2024-08-30,#世界杯预选赛# 客场踢日本，输三个⚽️以下，都算是成功,pos
2024-08-24,#国足vs沙特##世界杯预选赛# 目前看了几个平台，票星球，看个比赛小程序还有部分球票，大麦网已经卖完！一起去大连梭鱼湾足球场加油,neu
2024-08-23,日媒调侃国足：全队价值竟不及日本单人，球迷心情低落。#中国足球# #世界杯预选赛# #武磊# #足球协会# #国家队# #中超# 篮球新鲜事的微博视频,neu
2024-08-23,这一波儿合体也很棒了@杨升 @张昊泽zhz @解说员-洪宇青 #国足vs沙特##世界杯预选赛#,pos
2024-08-23,#国足vs沙特##世界杯预选赛# 足球票比周杰伦的演唱会门票好抢多了！,pos
2024-08-21,"#足球##中国足球##国足##世界杯预选赛# 玩过家家呢，还有半个月就比赛了，还直播公布名单！#国足直播公布名单#

要不要再来个全民公投，再来个世预赛百城拉票巡游，让各位名角各秀绝技各显神通，也让我等苦民有与各位大佬零距离接触的机会，最后锣鼓喧天鞭炮齐鸣的欢送这群天选之子参加世界杯表演赛，全民娱乐全民狂欢，名利双收，——娱乐至死",pos
2024-08-21,#世界杯预选赛#现场直憋,neu
2024-08-16,#世界杯预选赛##澳大利亚vs中国# 国际足联2026世界杯亚洲区预选赛第三阶段（澳大利亚VS中国）的比赛将于2024年10月10日在澳大利亚阿德莱德市举行。 　比赛日期：2024年10月10日 　比赛对阵：澳大利亚国家男子足VS中国男足 　比赛地点：阿德莱德椭圆体育场 开球时间：17:00（北京时间）,neu
2024-07-24,欧洲杯冠军搭档再度联手！36岁的资深球员德拉季奇决定回归国家队，携手东契奇共同贡献40分，助力斯洛文尼亚大胜克罗地亚，取得开门红！#世界杯预选赛# #德拉季奇# #东契奇# #世界杯# 灌篮大风车的微博视频,pos
2024-07-24,新晋欧洲杯王者意大利，竟在世界杯门前折戟沉沙，不幸败给北马其顿，#足球# #世界杯预选赛# 的征途戛然而止，#意大利0#-1北马其顿## 的比分定格了遗憾，评述员老苗的解说也难掩失落，#意大利无缘世界杯# 的现实让人唏嘘不已。 #世界杯# 天下篮球快报的微博视频,neg
2024-07-22,绿茵场上，激情燃烧的竞技盛宴，从欧洲杯到世界杯预选赛，每一场都是梦想的追逐。 #足球# #欧洲杯# #世界杯预选赛# #世界杯# 灌篮大风车的微博视频,pos
2024-07-20,在欧洲区G组的第五轮激烈对决中，德佩表现出色梅开二度，维纳尔杜姆也贡献关键进球，点燃了 #世界杯预选赛# 的战火。 #世界杯# 天下篮球快报的微博视频,pos
2024-07-19,刷新八年来最低记录！中国足球国家队最新排名下滑九席，现居全球第88，亚洲区第13！#dou来足球季# #国足# #世界杯预选赛# #世界杯# 篮球新鲜事的微博视频,neu
2024-07-19,回敬的瞬间，重温18年世界杯法国队对阿根廷和梅西的调侃，恐怕当时没人预见2022年阿兹台克人会捧起大力神杯。时光流转，三十年的变迁，无人能在傲慢中屹立不倒。这或许正是传奇偶像的辉煌谢幕，#梅西#，#阿根廷#，在#世界杯预选赛#的舞台上，伴随着#实况足球手游#的激情，#易球成名计划#见证了这一切。 #世界杯# 灌篮大风车的微博视频,pos
2024-07-19,#世界杯预选赛# #c罗# #佩佩# #达尼洛# #威廉卡瓦略# #门德斯# #世界杯# 网球看这里的微博视频,neu
2024-07-17,【20170905】德国队在自家球场上演六球盛宴，横扫挪威。#足球# #赛事精彩瞬间# #德国国家队# #穆勒# #世界杯预选赛# #世界杯# 天下篮球快报的微博视频,pos
